Gruppo,Data,Eta,Fascia_Eta,Genere,Livello_Istruzione,Influenza_Eta,Influenza_Formazione,Frequenza_Visite,Interesse,Chiarezza,Difficolta_Attenzione,Efficacia,Coinvolgimento_Emotivo,Funzionalita_Desiderate,Aspetti_Utili,Utilita_VR,Quiz_1_Fondazione,Quiz_2_Fondatore,Quiz_3_Montessori,Quiz_4_Banchi,Quiz_5_Decorazione,Quiz_6_Cassettiera,Quiz_7_Pinocchio,Quiz_8_Banco_Urbano,Quiz_9_GoKart
VR,09/06/2025 10:44,18,18-25,F,Laurea magistrale,8,3,1,9,9,8,4,9,Visite in tempo reale con amici e visione storica evolutiva,Elementi interattivi,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,L'introduzione delle tecnologie in classe,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,Un oggetto di artigianato africano importato per il commercio,Giovanni Gentile nella riforma scolastica,A conservare oggetti antichi,Formazione morale e sociale dei bambini
VR,05/09/2025 11:20,18,18-25,F,Licenza media,3,7,1,8,9,2,9,8,Guide virtuali parlanti e modalità fotografica,Altro,8,Un illustratore e scenografo legato al mondo rurale,Era utilizzato esclusivamente per le feste scolastiche,Aver inventato il metodo Montessori,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,Un oggetto di artigianato africano importato per il commercio,Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,28/10/2025 11:46,18,18-25,F,Licenza media,2,1,4,8,8,1,9,10,Gamification educativa e tecnologia vocale,Interazioni con gli avatar,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,14/11/2025 12:04,18,18-25,F,Diploma superiore,2,5,9,10,7,1,2,8,Esperienza per bambini e visione storica evolutiva,Elementi interattivi,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,L'introduzione delle tecnologie in classe,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Alfabetizzare e educare le popolazioni rurali,Un giocattolo moderno per promuovere l'inclusività,Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Semplice intrattenimento
VR,11/08/2025 12:06,18,18-25,M,Diploma superiore,10,9,4,10,10,8,8,8,Esplorazione libera in stile open world e supporto per più lingue,Altro,10,Un illustratore e scenografo legato al mondo rurale,Era utilizzato esclusivamente per le feste scolastiche,Aver inventato il metodo Montessori,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,Un oggetto di artigianato africano importato per il commercio,Giovanni Gentile nella riforma scolastica,A riscaldare realmente le aule del museo,Semplice intrattenimento
VR,06/11/2025 12:24,18,18-25,F,Laurea magistrale,9,8,1,8,6,8,9,5,Interazioni con altri visitatori e modalità fotografica,Elementi interattivi,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,06/08/2025 12:48,18,18-25,M,Licenza media,10,6,2,7,8,8,8,7,Tracce audio storiche e musica ambientale storica,Interazioni con gli avatar,9,Un fondatore di scuole elementari,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Serviva solo per gli esami finali,Promuovere l'arte nelle campagne,Un oggetto di artigianato africano importato per il commercio,Maria Montessori nel metodo educativo,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Semplice intrattenimento
VR,12/08/2025 12:54,18,18-25,F,Licenza media,1,6,1,10,10,7,4,9,Tecnologia vocale e supporto per visori diversi,Interazioni con gli avatar,9,Un pedagogo montessoriano,Era utilizzato esclusivamente per le feste scolastiche,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Formare artisti e illustratori,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A conservare oggetti antichi,Sviluppo delle abilità matematiche
VR,18/09/2025 12:59,18,18-25,F,Laurea triennale,4,9,3,9,6,8,7,10,Tecnologia vocale e supporto per visori diversi,Elementi interattivi,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,12/10/2025 13:14,18,18-25,M,Laurea triennale,8,6,2,9,8,7,7,8,Gamification educativa e tecnologia vocale,Interazioni con gli avatar,7,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
