Modalità ;Informazioni cronologiche;1. Qual è la tua età?;2. Qual è il tuo genere?;3. Qual è il tuo livello di istruzione?;"4. Valuta su una scala da 1 a 10 quanto ritieni che la tua età influenzi l'interesse per esperienze museali, dove 1 significa ""per nulla"" e 10 ""moltissimo"".";5. Su una scala da 1 a 10, quanto pensi che il tuo percorso formativo o le tue conoscenze pregresse influenzino la tua comprensione delle esposizioni museali? ;"6. Quanto frequentemente visiti i musei o le mostre culturali in generale? Usa una scala da 1 a 10 per indicare la tua frequenza, dove 1 significa ""mai"" e 10 ""molto frequentemente"".";7. Quanto hai trovato interessante la visita guidata al museo tradizionale? Valuta su una scala da 1 a 10.;8. Ritieni che le spiegazioni fornite dalla guida siano state chiare e utili? Usa una scala da 1 a 10 per indicare il tuo grado di chiarezza percepita.;9. Durante la visita, hai percepito difficoltà nel mantenere l’attenzione? Su una scala da 1 a 10.;10. Quanto ritieni che l’esposizione degli oggetti storici sia stata efficace per trasmettere informazioni educative? Usa una scala da 1 a 10 per indicare la tua percezione.;11. Qual è stato il tuo livello di coinvolgimento emotivo durante la visita tradizionale? Valuta su una scala da 1 a 10.;12. Quali ulteriori funzionalità vorresti vedere in una futura versione del museo VR?;13. Quali aspetti della guida museale tradizionale al MuSEd hai trovato più utili per l’apprendimento?;14. Quanto riterresti utile l’uso della VR per spiegare l’evoluzione degli strumenti educativi rispetto all’esposizione fisica degli oggetti?;1. Quando è stato fondato il primo Museo d'Istruzione e di Educazione?;2. Chi fu il fondatore del primo Museo d'Istruzione e di Educazione?;3. Qual è il principale contributo di Maria Montessori all'educazione?;4. Chi progettò i banchi scolastici per le scuole dei contadini dell’Agro Romano? ;5.  Chi decorò le scuole dell’Agro Romano ?;6. Qual era la caratteristica principale della cassettiera montessoriana?;7.  Chi è l’autore dell’opera: l'albero di Pinocchio, conservato al MUSED?;8. Come si differenziava il banco della scuola urbana di Marcucci da quello rurale ?;9. Chi utilizzava principalmente i go kart all'inizio del XX secolo?
tradizionale;02/05/2025 13:17;18;M;Diploma superiore;2;9;9;4;9;2;2;10;Interazione con strumenti antichi e esperienze tematiche;Interazioni con la guida;8;1884;Giovanni Cena;La costruzione di scuole in muratura;Duilio Cambellotti;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;04/03/2025 14:50;18;M;Licenza media;1;2;4;2;2;6;5;9;Percorsi personalizzati e quiz durante la visita;Interazioni con la guida;6;1907;Ruggiero Bonghi;L'uso di materiali sensoriali;Duilio Cambellotti;Giovanni Cena;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;25/01/2025 16:02;18;M;Laurea triennale;1;2;3;2;2;1;2;6;Accesso a documenti d'archivio e guide virtuali parlanti;Spiegazioni vocali;4;1884;Ruggiero Bonghi;La creazione del 'Giornale per i bambini';Sibilla Aleramo;Duilio Cambellotti;Era utilizzata solo per conservare i quaderni degli studenti;Un falegname della Disney;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;11/01/2025 17:04;18;NON SPECIFICATO;Laurea triennale;6;2;2;5;2;1;2;1;Esperienze narrative e possibilità di fare domande;Interazioni con la guida;9;1907;Duilio Cambellotti;L'uso di materiali sensoriali;Giovanni Cena;Angelo Celli;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Solo i bambini delle famiglie benestanti
tradizionale;19/12/2024 17:58;18;M;Laurea triennale;1;2;3;2;2;1;2;5;Supporto per visori diversi e modalità esperto;Interazioni con la guida;9;1912;Giovanni Cena;L'uso di materiali sensoriali;Sibilla Aleramo;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Ferdinando Codognotto;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;01/02/2025 18:09;18;M;Laurea triennale;1;2;3;2;2;1;2;1;Esplorazione libera in stile open world e supporto per più lingue;Esposizioni fisiche;3;1874;Duilio Cambellotti;La promozione del fascismo nelle scuole;Duilio Cambellotti;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;28/01/2025 18:41;18;M;Laurea triennale;1;2;3;2;2;1;2;4;Contenuti storici dinamici e conferenze virtuali;Esposizioni fisiche;10;1912;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Duilio Cambellotti;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle scuole private
tradizionale;22/01/2025 20:47;18;NON SPECIFICATO;Licenza media;4;7;7;2;5;1;2;10;Esplorazione libera in stile open world e visite guidate registrate;Altro;5;1912;Giovanni Cena;La promozione del fascismo nelle scuole;Giovanni Cena;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;30/05/2025 21:33;18;NON SPECIFICATO;Diploma superiore;1;2;3;3;2;10;2;6;Interazione con strumenti antichi e sincronizzazione con l'app mobile;Altro;6;1884;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Sibilla Aleramo;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;03/12/2024 22:18;18;M;Licenza media;1;2;8;7;8;1;3;2;Visite notturne simulate e incontri con avatar storici;Interazioni con la guida;4;1912;Duilio Cambellotti;L'uso di materiali sensoriali;Sibilla Aleramo;Angelo Celli;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;I bambini delle scuole private
